stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Atlantic, Western Central Common dolphinfish",1.35,1.52,1.92,1.74,full_ensemble,0.95
"Atlantic, Western Central Common octopus",1.01,1.93,1.3,1.64,full_ensemble,1.02
"Atlantic, Western Central Common snook",0.32,0.54,0.61,0.56,full_ensemble,1.2
"Atlantic, Western Central Flathead mullet",0.45,0.71,1.86,1.57,full_ensemble,0.8
"Atlantic, Western Central King mackerel",1.2,1.26,1.87,1.63,full_ensemble,1.13
"Atlantic, Western Central Lane snapper",0.46,0.59,1.01,1.2,full_ensemble,0.78
"Atlantic, Western Central Largehead hairtail",0.59,1.39,1.98,1.51,full_ensemble,0.86
"Atlantic, Western Central Little tunny",0.31,0.63,0.15,0.5,full_ensemble,0.87
"Atlantic, Western Central Liza",0.49,0.71,1.93,1.37,full_ensemble,1.01
"Atlantic, Western Central Mangrove cupped oyster",0.4,0.83,1.07,1.58,full_ensemble,0.69
"Atlantic, Western Central Northern brown shrimp",0.53,0.68,1.52,1.72,full_ensemble,0.76
"Atlantic, Western Central Northern pink shrimp",0.39,0.45,0.21,1.87,full_ensemble,0.33
"Atlantic, Western Central Northern red snapper",0.48,0.74,1.51,1.01,full_ensemble,0.7
"Atlantic, Western Central Northern white shrimp",1.23,0.93,1.91,1.7,full_ensemble,1.31
"Atlantic, Western Central Red drum",0.23,0.44,0.14,0.09,full_ensemble,0.48
"Atlantic, Western Central Red grouper",0.39,0.44,0.01,1.78,full_ensemble,0.54
"Atlantic, Western Central Rock shrimp",0.38,0.45,1,1.58,full_ensemble,0.57
"Atlantic, Western Central Round sardinella",0.34,0.72,1.68,1.08,full_ensemble,1.01
"Atlantic, Western Central Scaled herring",1.47,0.74,0.9,1.59,full_ensemble,1.09
"Atlantic, Western Central Serra Spanish mackerel",0.5,0.99,1.34,1.31,full_ensemble,1.1
"Atlantic, Western Central Skipjack tuna",0.38,0.66,0.33,1.43,full_ensemble,0.64
"Atlantic, Western Central Southern red snapper",1.49,0.66,1.63,1.76,full_ensemble,0.68
"Atlantic, Western Central Spanish mackerel",1.36,1.12,1.48,1.54,full_ensemble,1.1
"Atlantic, Western Central Spotted weakfish",0.22,0.48,0.18,0.07,full_ensemble,0.4
"Atlantic, Western Central Swordfish",1.13,1.19,1.85,1.6,full_ensemble,1.22
"Atlantic, Western Central Whitemouth croaker",0.44,0.58,0.62,1.58,full_ensemble,0.59
"Atlantic, Western Central Yellowfin tuna",0.48,0.88,1.46,1.4,full_ensemble,0.73
"Atlantic, Western Central Yellowtail snapper",1.3,1.13,1.55,1.66,full_ensemble,1.32
"Indian Ocean, Antarctic Antarctic krill",0.22,0.35,0,2.04,full_ensemble,0.67
"Indian Ocean, Antarctic Marbled rockcod",0.26,0.37,0.28,0.29,full_ensemble,0.94
"Indian Ocean, Antarctic Patagonian toothfish",1.1,1.59,1.35,1.38,full_ensemble,1.19
"Indian Ocean, Eastern Akiami paste shrimp",1.13,0.69,1.63,1.26,full_ensemble,0.79
"Indian Ocean, Eastern Australian ruff",0.31,0.54,0.3,1.24,full_ensemble,0.51
"Indian Ocean, Eastern Australian spiny lobster",0.5,0.64,1.74,1.01,full_ensemble,0.89
"Indian Ocean, Eastern Banana prawn",1.15,1.1,1.95,1.74,full_ensemble,1.27
"Indian Ocean, Eastern Bigeye tuna",0.53,0.96,1.11,1.07,full_ensemble,1.07
"Indian Ocean, Eastern Black marlin",1.07,1.6,0.4,1.51,full_ensemble,1.26
"Indian Ocean, Eastern Blacklip abalone",1.32,1.02,1.05,1.07,full_ensemble,1.12
"Indian Ocean, Eastern Blue grenadier",0.4,0.41,1.15,1.01,full_ensemble,0.87
"Indian Ocean, Eastern Blue swimming crab",1.08,0.87,1.53,1.45,full_ensemble,0.76
